id,date,ast,blk,dreb,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,ft_pct,fta,ftm,min,oreb,pf,pts,reb,stl,turnover,total_min
32061,2016-02-24,5.0,1.0,3.0,0.25,4.0,1.0,0.588,17.0,10.0,0.5,4.0,2.0,32:09,3.0,2.0,23.0,6.0,1.0,1.0,32.15
29276,2016-02-26,1.0,0.0,0.0,0.0,2.0,0.0,0.364,11.0,4.0,1.0,2.0,2.0,31:11,1.0,2.0,10.0,1.0,1.0,2.0,31.183333333333334
28223,2016-02-28,6.0,0.0,1.0,0.5,8.0,4.0,0.45,20.0,9.0,1.0,6.0,6.0,32:11,0.0,4.0,28.0,1.0,0.0,4.0,32.18333333333333
29883,2016-02-29,6.0,0.0,2.0,0.5,2.0,1.0,0.385,13.0,5.0,1.0,11.0,11.0,35:21,1.0,3.0,22.0,3.0,1.0,4.0,35.35
29891,2016-03-04,8.0,0.0,4.0,0.5,6.0,3.0,0.444,18.0,8.0,1.0,2.0,2.0,31:41,1.0,1.0,21.0,5.0,1.0,1.0,31.683333333333334
29975,2016-03-05,4.0,2.0,3.0,0.5,6.0,3.0,0.538,13.0,7.0,0.75,4.0,3.0,30:08,0.0,5.0,20.0,3.0,0.0,3.0,30.133333333333333
29979,2016-03-07,5.0,1.0,2.0,0.429,7.0,3.0,0.563,16.0,9.0,0.857,7.0,6.0,37:24,0.0,4.0,27.0,2.0,4.0,7.0,37.4
28233,2016-03-09,4.0,0.0,1.0,0.3,10.0,3.0,0.5,22.0,11.0,0.833,6.0,5.0,38:45,0.0,0.0,30.0,1.0,1.0,2.0,38.75
30928,2016-03-10,9.0,1.0,1.0,0.286,7.0,2.0,0.55,20.0,11.0,1.0,2.0,2.0,37:06,1.0,2.0,26.0,2.0,0.0,2.0,37.1
29991,2016-03-13,5.0,0.0,2.0,0.286,7.0,2.0,0.412,17.0,7.0,1.0,1.0,1.0,31:11,0.0,3.0,17.0,2.0,1.0,2.0,31.183333333333334
29994,2016-03-14,3.0,1.0,2.0,0.1,10.0,1.0,0.304,23.0,7.0,0.0,0.0,0.0,33:41,2.0,2.0,15.0,4.0,2.0,0.0,33.68333333333333
